,m2,m4,m6,m8,m10,m12,m14,m16,m18,m20,m22,m24,m26,m28,m30,m32,m34,m36,m38,m40,m42,m44,m46,m48,m50,m52,m54,m56,m58,m60,m62,m64,m66,m68,m70,m72,m74,m76,m78,m80,m82,m84,m86,m88,m90,m92,m94,m96,m98,m100,m102,m104,m106,m108,m110,m112,m114,m116,m118,m120,m122,m124,m126,m128,m130,m132,m134,m136,m138,m140,m142,m144,m146,m148,m150,m152,m154,m156,m158,m160,m162,m164,m166,m168,m170,m172,m174,m176,m178,m180,m182,m184,m186,m188,m190,m192,m194,m196,m198,m200
m1008,0.516732,0.3305435,0.4261046,0.693255,0.5576553,0.4635024,0.4337698,0.4076404,0.4632337,0.4889705,0.3865032,0.5706267,0.2592334,0.4068915,,0.4407082,0.4961614,0.4496707,,1.0,0.3067696,0.725455,0.7242507,0.4693022,0.3276271,0.4217665,0.1497119,,0.545492,0.4592941,0.6670031,,,,0.3656169,0.6546156,,0.1966337,0.7773804,0.5252713,0.481791,,0.4612977,0.1110406,,0.5300084,0.6297398,,,0.7781062,,0.3755611,,,0.5030722,0.4459153,,0.3870462,,,0.3359838,0.3056145,0.45,,,0.3730116,,,,0.8441595,,0.8107756,0.7816784,,0.4256809,0.1755777,0.3896221,0.4061166,0.3452418,0.5274285,0.4533041,0.6683015,0.3617534,0.6833861,0.5681812,0.6367328,,0.7903486,,0.1643725,,0.4329907,0.6059046,0.3251773,0.0799972,,0.2380368,0.4766679,0.3036005,
m1009,0.5780123,0.7635766,0.4984212,0.8307113,0.3880028,0.5427868,0.6596374,0.4709721,0.5086399,0.5787367,0.3477759,0.5286527,0.2802041,0.4763094,0.5225631,0.3737502,0.5139015,0.4237419,0.6257468,0.6514233,0.7392126,0.5645217,0.6377519,0.5418242,0.363307,0.4850927,0.8718999,,0.4950444,0.5403276,0.376051,0.5718921,0.5859711,0.5028555,0.5187743,0.2850793,0.7518361,0.4601763,0.5446692,0.4874383,0.4338836,0.9934535,0.6330496,0.6482653,,0.5114277,0.4198268,,,0.5289187,0.6934155,0.3658363,,,0.4014306,0.4824145,0.4949852,0.5362522,0.6477562,,0.7293133,,0.593046,,,0.4915286,,,,0.3913763,,0.547031,0.8483565,0.450694,0.3107378,0.5330028,0.5569442,0.569101,0.5646328,0.5862201,0.3560892,0.4421396,0.6326382,0.5386899,0.6255003,0.5752811,0.4628722,0.3516399,0.3737888,0.3515937,0.766357,0.4820499,0.5723843,0.526054,0.4002618,,0.294578,0.5611739,0.5521554,0.6979623
m101,0.4003929,0.2694372,0.6208335,0.3457417,0.4569095,0.1760315,0.5641,0.6926973,0.5846278,0.283839,0.3271037,0.4690226,0.3882327,0.4195233,0.6187168,0.6042585,0.535305,0.5623317,0.5152056,0.1265269,0.4113156,0.2469838,0.6791545,0.2832301,0.7132733,0.6518518,0.252934,,0.6671062,0.5462675,0.586694,0.2117792,0.2676875,0.3033337,0.4336267,0.6504823,0.4541987,0.4550978,0.5661878,0.71924,0.4698783,0.1928365,0.5492018,0.2883675,,0.4906265,0.579342,0.61101,0.3627821,0.5055975,0.1523553,0.5538534,0.3563618,,0.5869478,0.4716823,,0.5060169,0.4492161,,0.3915582,1.0,0.245221,,,0.3467738,,0.4002246,,0.2864358,,0.4005076,,0.8292505,0.5265168,0.5333637,0.7713853,0.6541902,0.1982451,0.2444697,0.6897537,0.6984228,0.3058596,0.1968479,0.2443742,0.2868308,0.2816201,0.6886814,0.1099339,0.5427053,0.2789034,0.319219,0.2109477,0.5793062,0.5137342,,0.5699243,0.3038852,0.3628228,0.5949358
m1010,0.5512366,0.6299194,0.5230761,0.777739,0.5446374,0.6027085,0.6235836,0.5041272,0.5388036,0.6445843,0.4512765,0.5500962,0.3333867,0.2644523,0.4488222,0.3997042,0.5189708,0.467761,0.6300551,0.2820783,0.5758832,0.5765783,0.5923258,0.5320059,0.4302707,0.3885736,0.553805,0.9391318,0.4281964,0.5284749,0.4742931,0.6783851,0.5601563,0.3761609,0.4831203,0.5912611,0.5744839,0.583931,0.4939112,0.5327257,0.5833472,0.4518557,0.6264949,0.6503262,,0.5633005,0.417706,0.0480695,,0.4763868,0.7085543,0.4098442,,,0.4305494,0.525642,0.8571278,0.6447174,0.5155466,,0.6263857,0.2407824,0.6208666,,,0.5395078,,,,0.6787432,,0.3968477,0.7970396,0.8014594,0.459727,0.3835012,0.3355009,0.3777753,0.6004657,0.5967129,0.3041199,0.5683799,0.6005281,0.5604169,0.4859378,0.5453835,0.5514813,0.3067026,0.6103475,0.5539122,0.6899809,0.6753425,0.6261198,0.4286421,0.4460841,,0.4667656,0.5530714,0.5480444,0.50979
m1011,0.6331583,0.6039517,0.4172694,0.8599733,0.6176201,0.7412299,0.3722871,0.3549618,0.4297263,0.7102773,0.5311923,0.590356,0.1269885,0.3151553,,0.2999076,0.4912234,0.4470755,0.8036133,,0.6424244,0.6947198,0.7434853,0.7241814,0.2298724,0.430967,,,0.2467365,0.5046571,0.4114394,0.795911,0.7585226,0.2790167,0.5692143,0.1466332,0.4892841,0.5722261,0.2976598,,0.1726863,,0.4846888,0.6533313,,0.7431226,0.2878103,,,0.3743098,0.818878,0.4881867,,,0.2198783,0.5755325,,0.9264586,0.7548037,,0.7215658,,0.679436,,,0.7872693,,,,0.573462,,0.5771429,,0.7719686,0.2852028,0.5019879,0.3020395,0.4602792,0.6505909,0.8154293,0.4157048,0.5953245,0.7159439,0.624995,0.6622341,0.7725574,0.6960475,0.1977177,,0.5046299,0.2825291,0.3403275,0.6378165,0.4462027,0.3641134,,0.2806908,0.6430716,0.6023552,
m1012,0.4344493,0.4854307,0.5875989,0.464503,0.478956,0.2335015,0.5687427,0.5220273,0.4098677,0.2499198,0.4617309,0.4736685,0.4175404,0.5042839,0.6847755,0.5371236,0.5295138,0.6856992,0.2008776,0.4931618,0.362044,0.3672953,0.491782,0.5190601,0.601442,0.507034,0.4709695,,0.4427958,0.4313133,0.5152782,0.2623268,0.2529828,0.424526,0.5223526,0.6345185,0.2804175,0.3992023,0.6354468,0.326484,0.6438983,,0.6316139,0.4180263,,0.4656398,0.6420792,0.7214869,,0.3433616,0.1928258,0.4942738,,,0.6312317,0.4489384,0.3208266,0.6713708,0.3887167,,0.3515468,0.1454599,0.360259,,,0.2659577,,,,0.4746313,,0.5294788,0.85079,0.0837483,0.6353403,0.684029,0.4926669,0.6926995,0.2867447,0.2691123,0.4912175,0.6284155,0.2611815,0.4249709,0.4892552,0.2662168,0.1887097,0.7327241,0.3187475,0.5837294,0.3522568,0.617097,0.4538715,0.4576946,0.6379015,,0.4418923,0.3438426,0.3265058,0.2471464
m1013,0.5397072,0.4104148,0.6302664,0.5614936,0.4745117,0.4877054,0.2454645,0.3722503,0.4094881,0.5576731,0.5678238,0.5189722,0.2363247,0.5184197,0.0682258,0.4754895,0.5601356,0.5328606,0.5279719,0.2381156,0.4319913,0.5075211,0.3467012,0.4924327,0.5031327,0.5637258,0.5539822,,0.5334278,0.6070854,0.5946448,0.3011895,0.3491961,0.6868155,0.5179933,0.5970012,0.4829917,0.4425341,0.4643637,0.229257,0.5855282,0.097873,0.7083509,0.4362905,,0.2327296,0.5397497,0.6856273,,0.4990161,0.4117048,0.5064318,,,0.4772346,0.4693099,0.1385063,0.7144179,0.3189267,,0.5091996,,0.6286649,,,0.3579227,,,,0.657176,,0.4720666,0.6723278,0.5005998,0.4444265,0.4532933,0.4486743,0.439558,0.5492109,0.509944,0.4065867,0.5052488,0.4421681,0.53333,0.4245988,0.5211977,0.3991535,0.3594061,0.7115485,0.4842032,0.5179995,0.4909485,0.4317974,0.5074748,0.6383693,,0.6486879,0.6631151,0.4449032,0.207734
m1014,0.5271021,0.5170887,0.5872402,0.6745893,0.5261681,0.5546876,0.476907,0.4146802,0.6265517,0.6996159,0.4233142,0.5658732,0.2717657,0.4921916,0.069794,0.4409827,0.4951076,0.4190614,0.5247382,0.2825213,0.3749765,0.5215001,0.7105795,0.5699498,0.2841712,0.3691425,0.6483372,,0.4093524,0.5513103,0.5654093,0.4620493,0.4986632,0.7817444,0.6424723,0.7138507,0.6370767,0.5445894,0.7772206,0.1604102,0.5614085,,0.5873263,0.6929274,,0.339748,0.5111727,0.3955231,,0.4308083,0.4049026,0.4162611,,,0.4240139,0.299284,0.0521101,0.5493714,0.5545911,,0.5083392,,0.4309795,,,0.5347555,,,,0.6086151,,0.6757796,0.9610312,0.3572908,0.4581321,0.2173849,0.5189972,0.2927277,0.573833,0.6024108,0.2827003,0.3759795,0.710368,0.5566712,0.4637252,0.5284948,0.4884532,0.3955523,0.6158538,0.5456389,0.4106695,0.0127348,0.5628164,0.5177995,0.1573144,,0.4982626,0.5812267,0.3949393,0.0218636
m1015,0.4803709,0.5704821,0.5416722,0.848092,0.4599264,0.4511842,0.6826039,0.3784825,0.4126761,0.5855331,0.5065507,0.5848738,0.4892646,0.1888351,0.4123817,0.33521,0.4959418,0.4664882,0.2751158,0.5028377,0.5982717,0.5882764,0.458604,0.5919268,0.4102575,0.6566422,0.6092676,0.7864153,0.4251098,0.6630796,0.5214638,0.5615648,0.7157884,0.1732994,0.512538,0.4960823,0.6889622,0.5985716,0.3166553,0.8222117,0.7360353,,0.5787428,0.6142336,,0.6124131,0.4220477,,,0.6770877,0.2730835,0.5017332,,,0.4376269,0.4915347,,0.7955235,0.6654411,,0.4860807,,0.6101343,,,0.6401251,,,,0.6459749,,0.601781,0.6876808,0.5014086,0.6028091,0.8708708,0.6204038,0.5860684,0.5663519,0.6087689,0.3534718,0.4801903,0.4550435,0.5674257,0.4725751,0.6123595,0.4075099,0.3006689,,0.5027588,0.4714832,0.4856069,0.5388008,0.579059,0.3921348,,0.4244142,0.6039691,0.3550612,0.7243982
m1016,0.658081,0.5924018,0.4042486,0.6387793,0.4848484,0.4989425,0.4470535,0.3999822,0.4755458,0.6170159,0.3326687,0.4325866,0.6892579,0.4092942,0.6400053,0.3600778,0.4788916,0.471553,0.6423958,,0.565331,0.5058908,0.6469492,0.5347371,0.3534355,0.4607205,0.4107249,,0.2610053,0.4636807,0.4916408,0.3800343,0.6801237,0.3798357,0.5786599,0.4301149,0.9073173,0.5111995,0.5604,0.2461456,0.1722247,,0.4212473,0.4457408,,0.4948627,0.2957401,0.4309333,,0.6229492,0.4786692,0.4372099,,,0.3522306,0.4356567,0.0569866,0.6008187,0.7437805,,0.7276029,,0.3173485,,,0.3930107,,,,0.6995937,,0.5058375,,0.2791253,0.4256847,0.7828186,0.714343,0.6403029,0.6270094,0.6316138,0.4934695,0.4648285,0.7021109,0.5467695,0.5826518,0.6758642,0.5958201,0.5084541,,0.4459007,0.6646915,0.7120886,0.5051779,0.4721946,0.5187094,,0.3472729,0.6822156,0.5476945,
m1017,0.5510531,0.4344945,0.5061228,0.6114113,0.4906064,0.411779,0.52895,0.5323475,0.4863194,0.4490081,0.4544809,0.5310937,0.4020586,0.4432796,0.5156031,0.4989809,0.5242804,0.6376231,0.3110816,0.4612123,0.4370371,0.5006827,0.7232302,0.5153769,0.5608435,0.5527586,0.428412,,0.4678964,0.4490306,0.6410587,0.2263855,0.2429791,0.8637971,0.466561,0.4513697,0.5986592,0.2580486,0.4504036,0.4066997,0.5670311,,0.5419524,0.4734636,,0.5734806,0.4681794,0.4554537,,0.4125557,0.2377985,0.5184085,,,0.5477325,0.3973379,0.3004714,0.6135087,0.6039483,,0.4506186,0.3056145,0.432846,,,0.5223081,,,,0.6380465,,0.6416253,0.518806,0.3714136,0.5397778,0.7553301,0.5052371,0.5655361,0.4689176,0.3907688,0.4693791,0.5454493,0.5682433,0.5191589,0.4130079,0.4308327,0.401309,0.4431566,0.4654796,0.6120689,0.5825158,0.7704509,0.5253113,0.5049993,0.4550726,,0.4440527,0.5772293,0.3315159,0.1977349
m1018,0.6916983,0.472831,0.3958068,0.9237677,0.5101379,0.4415774,0.6309323,0.3152651,0.3862892,0.6071091,0.5552233,0.5475793,0.3614796,0.3211451,0.647393,0.3787922,0.4826048,0.5857998,0.6916241,0.1001186,0.616804,0.6292551,0.6769939,0.4703167,0.331337,0.4307238,0.8543119,,0.2823245,0.4183059,0.5169305,0.3993181,0.5026643,0.6339296,0.5226455,0.9258238,0.8886893,0.3776317,0.5587697,,0.5714307,,0.590781,0.5313708,,0.4966804,0.2885918,0.6595229,,0.5965763,0.5516605,0.3843655,,0.7886557,0.3923448,0.3757085,0.1370769,0.64663,0.4362203,,0.6635381,0.3319022,0.6380328,,,0.308696,,,,0.7612477,,0.6212083,0.8660404,0.6840087,0.4256639,0.9033058,0.4385537,0.531107,0.7032654,0.6760899,0.317571,0.4805941,0.5378184,0.6200218,0.4383105,0.6428956,0.5675869,0.1933445,0.1538594,0.4223217,0.6294203,0.4711666,0.5394572,0.5922242,0.6600029,,0.3635628,0.7515982,0.5046442,0.8315181
m1019,0.4233375,0.3625936,0.5700364,0.5681438,0.4853763,0.2404851,0.6597916,0.6131785,0.3672773,0.3836847,0.4729824,0.4858335,0.4113768,0.3564156,0.3136292,0.5406842,0.5703779,0.5430155,0.5627939,0.513731,0.4636001,0.3537067,0.4752351,0.4100992,0.578386,0.5127533,0.3557772,0.2425149,0.443544,0.4440129,0.4575173,0.4548025,0.4368595,0.6309463,0.4648946,0.4257101,0.6919439,0.3906821,0.6824186,0.4752776,0.403936,,0.5619029,0.4236731,,0.4826283,0.6972499,0.7880119,,0.326526,0.1911682,0.3804563,,,0.585262,0.4988846,,0.7893954,0.8241131,,0.3557628,0.5127522,0.3517928,,,0.4423619,,,,0.5390956,,0.4034753,0.5188801,0.3351785,0.5371003,0.534363,0.2903689,0.4036408,0.4765296,0.3539112,0.4750373,0.5432481,0.4348417,0.3445247,0.5018969,0.353975,0.2091598,0.6303144,0.1464781,0.4861142,0.2992914,0.5500218,0.4708844,0.4102988,0.4249098,,0.593791,0.4184805,0.4054571,0.2306264
m102,0.580996,0.8556464,0.3429289,0.8330329,0.5115817,0.7653838,0.327682,0.257448,0.6332445,0.831744,0.5540903,0.6150838,0.7573112,0.4312528,0.714518,0.1935951,0.3516247,0.1457673,0.7524432,,0.8594497,0.7121906,0.8488596,0.5548143,0.1445654,0.2623274,0.9135504,,0.2888552,0.6146898,0.4227608,0.8028604,0.8494887,0.1288148,0.5577334,0.5275788,0.5165796,0.6676138,0.0251372,,0.2617683,0.850912,0.5938499,0.6541044,,0.7482406,0.4502546,,,0.6297474,,0.548085,,,0.1971051,0.5184388,,0.2162909,0.6588708,,0.9294987,,0.9129604,,,0.904859,,,,0.6207808,,0.4868145,,0.8592031,0.1823899,0.6620071,0.2598031,0.1641389,0.7324859,0.8266129,0.4377526,0.4158786,0.9328851,0.584544,0.6819312,0.8145711,0.8000433,0.2089484,,0.3515984,0.8965069,0.8599958,0.7219778,0.4653446,0.5419112,,0.4384337,0.8522242,0.4257339,
m1020,0.5780614,0.5958651,0.4470487,0.5466444,0.5064966,0.6508028,0.554823,0.3478866,0.4536441,0.6014932,0.5250926,0.6213782,0.4924629,0.4577882,0.487476,0.3675336,0.4910959,0.4127636,0.5341883,0.8021774,0.5103228,0.6375767,0.6608491,0.6047744,0.3106407,0.4423139,0.6020516,,0.23347,0.5542008,0.514717,0.6754958,0.6034356,0.3698853,0.5150535,0.5920025,0.5777829,0.3904927,0.6117253,0.0325667,0.4888611,,0.5318519,0.5501969,,0.6800256,0.3479222,,,0.6889929,0.505362,0.5102393,,,0.3922929,0.5242581,,0.5575689,0.4977334,,0.54395,,0.3122145,,,0.6625136,,,,0.6394435,,0.5431961,0.4974132,0.5424865,0.4505094,0.6171375,0.5231161,0.4437474,0.4894196,0.6627729,0.363465,0.6206646,0.5020332,0.6051461,0.5059188,0.5816386,0.6103309,0.328119,0.0689086,0.4442664,0.364622,0.4320182,0.6078168,0.6262987,0.3281407,,0.3254561,0.6214759,0.5928553,0.7550881
m1021,0.5951387,0.7112662,0.2901611,0.6186987,0.4784917,0.7991059,0.26876,0.288371,0.4932146,0.7430643,0.4440021,0.5878434,0.5256963,0.3124154,0.3790444,0.3463617,0.509158,0.2594595,0.7989875,0.6867596,0.6769051,0.6413288,0.5535465,0.7287048,0.1952683,0.3574904,0.7114376,0.5711403,0.2481803,0.6346133,0.4907898,0.6973304,0.752327,0.115822,0.4912014,0.6959257,0.6407721,0.4456186,0.6687316,,0.4307175,,0.5780845,0.6550226,,0.625776,0.3730999,,,0.7889585,0.7373227,0.423287,,,0.2570878,0.408301,,0.5103216,0.4089211,,0.7189887,,0.6751811,,,0.683936,,,,0.7080053,,0.5976969,0.8307641,0.8406367,0.3575362,0.4320831,0.6660466,0.1600625,0.6605028,0.8083078,0.3244462,0.3934971,0.6098918,0.7272793,0.4751997,0.7653356,0.6969749,0.14389,,0.2314545,0.727692,0.2561376,0.7135115,0.4997621,0.8303781,,0.2929408,0.5723582,0.5274473,0.613428
m1022,0.4542799,0.438436,0.4740726,0.4108067,0.526621,0.278897,0.476876,0.5193087,0.3185281,0.3736798,0.5631038,0.4614516,0.5578545,0.6797878,0.4600401,0.5240944,0.6445311,0.5554823,0.2959356,0.6725305,0.5092918,0.3961258,0.3510003,0.4472467,0.5619249,0.5034253,0.5507512,0.3242624,0.552214,0.4274515,0.5599355,0.1539147,0.2530501,0.4221207,0.4948137,0.6060947,0.3993518,0.5288923,0.7790881,0.4513635,0.4126791,0.0977213,0.4600671,0.30914,,0.3313055,0.528048,0.5126507,0.1840751,0.3527163,0.3992029,0.396974,,0.2715132,0.5856842,0.4406028,0.2732783,0.7186498,0.5773966,,0.4122051,0.233832,0.384152,0.843589,,0.4190715,,,,0.4773373,,0.3977495,0.5934391,0.3282044,0.649537,0.5063089,0.3283162,0.5511196,0.4166309,0.388274,0.4323796,0.4627259,0.4736021,0.4169652,0.5225816,0.3684913,0.3453646,0.5686045,0.2360438,0.4452964,0.389842,0.326397,0.3619109,0.4897495,0.526696,,0.4073631,0.409632,0.4798626,0.0404006
